SUBDISTRICT,LOCATION OF MOBILE VENDORS,OPERATIONAL AREA,CUSTOMERS
HARAPAN BARU,0,0,1
RAPAK DALAM,0,0,5
SENGKOTEK,0,0,0
SIMPANG TIGA,0,0,2
TANI AMAN,0,0,1
BANTUAS,0,0,0
BUKUAN,0,0,1
HANDIL BAKTI,0,0,0
RAWA MAKMUR,0,0,2
SIMPANG PASIR,0,0,0
PELITA,3,2,9
SELILI,0,2,2
SIDODAMAI,4,0,3
SIDOMULYO,5,0,8
SUNGAI DAMA,3,0,1
BUGIS,0,1,7
KARANG MUMUS,0,1,1
PASAR PAGI,0,4,1
PELABUHAN,0,0,1
SUNGAI PINANG LUAR,1,2,5
BAQA,0,0,1
GUNUNG PANJANG,0,0,0
MANGKUPALAS,0,0,0
MESJID,0,0,0
SUNGAI KELEDANG,0,0,2
TENUN SAMARINDA,0,0,0
AIR HITAM,0,4,18
AIR PUTIH,0,2,16
BUKIT PINANG,0,0,5
DADI MULYA,1,3,4
GUNUNG KELUA,1,2,12
JAWA,0,0,4
SIDODADI,0,3,6
TELUK LERONG ILIR,0,0,4
BUDAYA PAMPANG,0,0,0
LEMPAKE,10,5,9
SEMPAJA BARAT,0,2,7
SEMPAJA UTARA,3,4,23
SEMPAJA SELATAN,1,3,20
SEMPAJA TIMUR,0,0,21
SUNGAI SIRING,2,0,0
TANAH MERAH,0,0,1
LOA BAKUNG,0,0,15
LOA BUAH,0,0,0
KARANG ASAM ULU,0,0,4
LOK BAHU,1,1,13
TELUK LERONG ULU,0,0,1
KARANG ASAM ILIR,0,0,4
KARANG ANYAR,2,2,5
MAKROMAN,0,0,0
PULAU ATAS,0,0,1
SAMBUTAN,0,4,8
SINDANG SARI,0,0,1
SUNGAI KAPIH,0,0,2
BANDARA,2,3,1
GUNUNG LINGAI,0,0,6
MUGIREJO,4,3,11
SUNGAI PINANG DALAM,7,12,23
TEMINDUNG PERMAI,0,1,2
